Code,DatasetID,Provider,Country,lat,lon,GeoBlock,Clay,Silt,Sand,OC,Db,dg,Sg,Instrument,Landuse_Code,Texture Class,Ksat,logKsat,Porosity,Porosity_sq,PoreRatio,BD_Adams,RelCompaction,OrganicPore,log_dg,Sg_,KC_logK,Sand_Clay
1,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.526,23.952,57.522,1.073,1.213,0.1176909309419001,15.331872025872837,4,1,SANDY LOAM,14.94,1.17435059747938,0.5422641509433962,0.29405040939836236,0.7610318428004352,1.3247770992694503,0.9156257310523485,0.5818494339622641,-0.9292570018433741,15.331872025872837,2.3147201065586778,3.1049336068228435
2,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,21.237,21.812,56.951,1.17,1.416,0.10550458541308105,16.863197059091217,4,1,SANDY CLAY LOAM,1.495,0.17464119266044847,0.46566037735849053,0.2168395870416518,0.353649540753428,1.3137771392918007,1.0778083722504892,0.5448226415094339,-0.9767286647613365,16.863197059091217,1.88694705043739,2.681687620662052
3,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,20.557,22.761,56.682,0.92,1.432,0.10680721355769088,16.43981172344525,4,6,SANDY CLAY LOAM,1.357,0.13257984765973704,0.459622641509434,0.21125297258810968,0.3325140150620698,1.342506973351657,1.066661126105675,0.4228528301886793,-0.9713994148869972,16.43981172344525,1.8708424067487968,2.757308945857859
4,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,22.376,32.429,45.195,0.585,1.348,0.06600219182278767,15.775541865696294,4,1,LOAM,6.277,0.7977521286507108,0.4913207547169811,0.24139608401566393,0.458360615946718,1.3830344162802937,0.9746684421819961,0.2874226415094339,-1.1804416420227317,15.775541865696294,1.5921552918283486,2.0197979978548446
5,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,24.868,28.993,46.139,0.599,1.434,0.0630029822114713,17.17601241281073,4,6,LOAM,4.952,0.6947806360120615,0.45886792452830194,0.2105597721609114,0.32995639364551715,1.3812918018119738,1.0381586266702545,0.2748618867924528,-1.2006388929697107,17.17601241281073,1.4090100437830593,1.855356281164549
6,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,23.601,31.28,45.119,0.488,1.385,0.06324295647273183,16.346822144142365,4,1,LOAM,6.176,0.7907072873276797,0.47735849056603774,0.22787112851548594,0.3982228312977037,1.3952300791465695,0.9926678192367907,0.2329509433962264,-1.1989878359286141,16.346822144142365,1.4939817654532423,1.9117410279225457
7,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,21.109,25.712,53.178,0.776,1.486,0.0922339237267415,16.37730778666977,4,6,SANDY CLAY LOAM,1.257,0.0993352776859577,0.4392452830188679,0.19293641865432534,0.26951035006907537,1.3596329593399024,1.0929420251193738,0.3408543396226415,-1.0351093156317064,16.37730778666977,1.6521880984049782,2.5192098157184137
8,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,20.377,26.052,53.571,0.736,1.426,0.09583049656589689,16.01926623927903,4,6,SANDY CLAY LOAM,1.365,0.13513265137677483,0.46188679245283015,0.2133394090423638,0.3402979465554602,1.3644679972922973,1.0450959662152641,0.339948679245283,-1.0184962614576158,16.01926623927903,1.7866980870575968,2.6289934730333218
9,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.717,28.671,52.613,0.783,1.209,0.09765380185545415,15.014337203326756,4,6,SANDY LOAM,7.696,0.8862650590297565,0.5437735849056604,0.2956897116411535,0.7724910684058225,1.3587903485124204,0.8897619866991194,0.4257747169811321,-1.0103108441047133,15.014337203326756,2.159103060086893,2.8109739808730034
10,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,19.148,19.79,61.063,0.472,1.371,0.13135044228522738,15.900887868373985,4,6,SANDY LOAM,5.882,0.7695250201710505,0.4826415094339622,0.23294282662869345,0.4200401935443854,1.397262429853803,0.9812043684187867,0.22780679245283017,-0.8815684605123968,15.900887868373985,2.1519852104080375,3.1890014622937124
