FeatureSet,Inputs,R2,R2ci,RMSE,MAE,Bias,MedFactor,Within10
F1 Texture only,3,-0.08928413883496497,0.29505041751251976,1.069947316026793,0.7719857051506537,-0.02673288458294647,4.138584442553205,69.46258253851798
F2 Standard PTF inputs,5,-0.08691556611139943,0.22343113556147642,1.0725465902685756,0.7751592746471319,-0.03163698851750298,3.899273550106321,73.12672837067555
F3 PTF + physics-guided,15,-0.5071668915055346,0.40635209026618646,1.2179314376880417,0.9314463383055834,-0.21643359897731881,5.118925350331466,64.20480839776512
F4 F3 + measurement metadata,17,-0.6407822384921797,0.5134535884186263,1.2481131548647066,0.9599392152049306,-0.3599788871653257,5.226652733748198,63.88453072972516
F5 Four-input field set,4,-0.12210906499832777,0.15213820378796705,1.0869654082283449,0.7960921930154495,-0.0331383997679505,3.891387520938062,74.18844178565382
F6 Metadata only,2,-0.5381382863982337,1.0609939923709033,1.155279044136655,0.8859420320897999,-0.042329088463506574,5.510434944261414,67.45005361476382
